epoch,training_loss,validation_loss,validation_macro_average_precision,learning_rate
1,0.8918778087619957,0.6807907189707786,0.4549964532599529,0.00018090662072587943
2,0.6294088027782669,0.49670498468655905,0.6917006817551444,0.0005208986672185724
3,0.5355582256570797,0.4781616853222487,0.7033746592032185,0.0008603630963740728
4,0.4976718940280275,0.44739011516497007,0.7290571967116679,0.0009999997814456624
5,0.4799798439087797,0.4293431275796449,0.7419189114153139,0.0009903012601420172
6,0.4670279142974075,0.4092527945278722,0.7541686311515289,0.000961760813234107
7,0.4596103004129552,0.39918343739283196,0.7607336281351044,0.0009154752340909361
8,0.44620983463188885,0.4146396035523726,0.772133236470031,0.0008532232515617245
9,0.4394007905877395,0.3995832599038756,0.7734425045340477,0.0007773971744237558
10,0.43506771833513924,0.39742038096196974,0.7630317421155658,0.0006909109562976883
11,0.4238113663076682,0.39025375648340777,0.7751953777452006,0.0005970882140440767
12,0.4152068442289053,0.38362827984280784,0.7781565322080195,0.0004995345030313274
13,0.4026752568138715,0.39646521231137877,0.7715514984902008,0.00040199875766490877
14,0.39132949522521404,0.39779617264755596,0.8081574192764327,0.00030822922194057625
15,0.38413117012430203,0.39253736433964337,0.790527268916199,0.00022182940652965442
16,0.3723496263148498,0.39461786750004374,0.7988142117160156,0.0001461196078848104
17,0.3633845030956396,0.3950540927336372,0.7980798171738761,8.4009311109421e-05
18,0.3540762003794112,0.40035832853735864,0.8092347391754825,3.788538007670912e-05
19,0.3490594143385472,0.4026017654258908,0.8142572613797775,9.520331589663066e-06
20,0.34830657301531937,0.4012386072354731,0.8116529337139674,4.218554337707414e-09
