dataset,class,positive_count,average_precision,sensitivity,specificity,precision,false_positive_count,false_negative_count
chapman_heldout,sinus_rhythm,814,0.9619483336285795,0.9152334152334153,0.9689273169413672,0.8662790697674418,115,69
chapman_heldout,sinus_bradycardia,1657,0.9984284318840115,0.9571514785757392,0.9951014695591323,0.99125,14,71
chapman_heldout,sinus_tachycardia,724,0.9906235509222182,0.9640883977900553,0.99366921656555,0.9667590027700831,24,26
chapman_heldout,sinus_arrhythmia,257,0.7741294431346183,0.688715953307393,0.9868482855800845,0.759656652360515,56,80
chapman_heldout,atrial_fibrillation,178,0.21695588120188616,0.12359550561797752,0.9760202905234032,0.1746031746031746,104,156
chapman_heldout,atrial_flutter,804,0.7981275982865358,0.5833333333333334,0.9660468876313663,0.788235294117647,126,335
ptbxl_fold10,sinus_rhythm,1674,0.9403090998803292,0.7622461170848268,0.7824427480916031,0.9179856115107914,114,398
ptbxl_fold10,sinus_bradycardia,64,0.19539055504203318,0.09375,0.9910965323336457,0.24,19,58
ptbxl_fold10,sinus_tachycardia,82,0.8874571781033185,0.8902439024390244,0.9886578449905482,0.7525773195876289,24,9
ptbxl_fold10,sinus_arrhythmia,77,0.3073972043033399,0.2077922077922078,0.991984912776992,0.48484848484848486,17,61
ptbxl_fold10,atrial_fibrillation,152,0.9109299229368074,0.40131578947368424,0.9995112414467253,0.9838709677419355,1,91
ptbxl_fold10,atrial_flutter,7,0.42353254221616166,0.42857142857142855,0.9972615244180739,0.3333333333333333,6,4
