calibration,bin_lower,bin_upper,count,mean_probability,observed_abnormal_rate
raw,0.0,0.1,632,0.036530283678797466,0.11867088607594936
raw,0.1,0.2,196,0.14572629241326532,0.30612244897959184
raw,0.2,0.30000000000000004,139,0.2471614643165468,0.4316546762589928
raw,0.30000000000000004,0.4,99,0.3505949208080808,0.5050505050505051
raw,0.4,0.5,65,0.44711197784615386,0.5846153846153846
raw,0.5,0.6000000000000001,81,0.5498674938271605,0.7160493827160493
raw,0.6000000000000001,0.7000000000000001,69,0.6527434591304349,0.7536231884057971
raw,0.7000000000000001,0.8,71,0.7521675950704225,0.8873239436619719
raw,0.8,0.9,93,0.8470123784946236,0.8924731182795699
raw,0.9,1.0,713,0.9850313757643759,0.9915848527349228
temperature_scaled,0.0,0.1,458,0.0544449442416733,0.08733624454148471
temperature_scaled,0.1,0.2,256,0.14611570148609387,0.2109375
temperature_scaled,0.2,0.30000000000000004,179,0.24873352566617754,0.3743016759776536
temperature_scaled,0.30000000000000004,0.4,142,0.34654569206083224,0.4859154929577465
temperature_scaled,0.4,0.5,96,0.44569695397197595,0.5520833333333334
temperature_scaled,0.5,0.6000000000000001,99,0.5462607563909238,0.7171717171717171
temperature_scaled,0.6000000000000001,0.7000000000000001,90,0.6481026145124724,0.8
temperature_scaled,0.7000000000000001,0.8,95,0.7507510289448995,0.8736842105263158
temperature_scaled,0.8,0.9,116,0.8584045111547676,0.9741379310344828
temperature_scaled,0.9,1.0,627,0.9809472618161946,0.9952153110047847
