dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,sinus_rhythm,raw,0.0,0.1,3347,0.012120972819730506,0.005079175380938153
chapman_test,sinus_rhythm,raw,0.1,0.2,130,0.14739895329230768,0.06153846153846154
chapman_test,sinus_rhythm,raw,0.2,0.30000000000000004,45,0.24599170866666667,0.2222222222222222
chapman_test,sinus_rhythm,raw,0.30000000000000004,0.4,43,0.3516940125581395,0.20930232558139536
chapman_test,sinus_rhythm,raw,0.4,0.5,33,0.45191981090909095,0.30303030303030304
chapman_test,sinus_rhythm,raw,0.5,0.6000000000000001,35,0.5586454885714285,0.37142857142857144
chapman_test,sinus_rhythm,raw,0.6000000000000001,0.7000000000000001,31,0.6439153629032259,0.41935483870967744
chapman_test,sinus_rhythm,raw,0.7000000000000001,0.8,55,0.7527638485454546,0.6
chapman_test,sinus_rhythm,raw,0.8,0.9,88,0.8657001276136363,0.6704545454545454
chapman_test,sinus_rhythm,raw,0.9,1.0,708,0.9751456072316383,0.9067796610169492
chapman_test,sinus_rhythm,temperature_scaled,0.0,0.1,3278,0.016059428261838062,0.004881025015253203
chapman_test,sinus_rhythm,temperature_scaled,0.1,0.2,170,0.1417805189567961,0.041176470588235294
chapman_test,sinus_rhythm,temperature_scaled,0.2,0.30000000000000004,64,0.23919193114520493,0.140625
chapman_test,sinus_rhythm,temperature_scaled,0.30000000000000004,0.4,45,0.3473511227549833,0.26666666666666666
chapman_test,sinus_rhythm,temperature_scaled,0.4,0.5,41,0.44750226059180404,0.24390243902439024
chapman_test,sinus_rhythm,temperature_scaled,0.5,0.6000000000000001,40,0.5572710491838786,0.35
chapman_test,sinus_rhythm,temperature_scaled,0.6000000000000001,0.7000000000000001,38,0.6528801697980293,0.47368421052631576
chapman_test,sinus_rhythm,temperature_scaled,0.7000000000000001,0.8,51,0.7472630176073835,0.6274509803921569
chapman_test,sinus_rhythm,temperature_scaled,0.8,0.9,112,0.8563896934349259,0.7232142857142857
chapman_test,sinus_rhythm,temperature_scaled,0.9,1.0,676,0.9678607926405197,0.9097633136094675
ptbxl_external,sinus_rhythm,raw,0.0,0.1,617,0.015360512534050243,0.44246353322528365
ptbxl_external,sinus_rhythm,raw,0.1,0.2,57,0.14063026536842108,0.5614035087719298
ptbxl_external,sinus_rhythm,raw,0.2,0.30000000000000004,42,0.24646059047619043,0.7857142857142857
ptbxl_external,sinus_rhythm,raw,0.30000000000000004,0.4,35,0.3482370477142857,0.6857142857142857
ptbxl_external,sinus_rhythm,raw,0.4,0.5,32,0.45479705625,0.59375
ptbxl_external,sinus_rhythm,raw,0.5,0.6000000000000001,30,0.5501795916666665,0.6666666666666666
ptbxl_external,sinus_rhythm,raw,0.6000000000000001,0.7000000000000001,41,0.6493925965853659,0.7073170731707317
ptbxl_external,sinus_rhythm,raw,0.7000000000000001,0.8,64,0.75342756671875,0.796875
ptbxl_external,sinus_rhythm,raw,0.8,0.9,115,0.8578706199130435,0.8434782608695652
ptbxl_external,sinus_rhythm,raw,0.9,1.0,1165,0.9759863047124463,0.9407725321888412
ptbxl_external,sinus_rhythm,temperature_scaled,0.0,0.1,600,0.019805288412766794,0.43666666666666665
ptbxl_external,sinus_rhythm,temperature_scaled,0.1,0.2,66,0.14732428853452012,0.6060606060606061
ptbxl_external,sinus_rhythm,temperature_scaled,0.2,0.30000000000000004,43,0.25388042607270483,0.7209302325581395
ptbxl_external,sinus_rhythm,temperature_scaled,0.30000000000000004,0.4,40,0.35300936109622716,0.7
ptbxl_external,sinus_rhythm,temperature_scaled,0.4,0.5,34,0.4567510357650827,0.5882352941176471
ptbxl_external,sinus_rhythm,temperature_scaled,0.5,0.6000000000000001,36,0.5528379774736373,0.6666666666666666
ptbxl_external,sinus_rhythm,temperature_scaled,0.6000000000000001,0.7000000000000001,48,0.6531494112639794,0.6875
ptbxl_external,sinus_rhythm,temperature_scaled,0.7000000000000001,0.8,69,0.7514912126936018,0.8405797101449275
ptbxl_external,sinus_rhythm,temperature_scaled,0.8,0.9,148,0.856364125224925,0.8783783783783784
ptbxl_external,sinus_rhythm,temperature_scaled,0.9,1.0,1114,0.9688180067862255,0.940754039497307
chapman_test,sinus_bradycardia,raw,0.0,0.1,2741,0.0039013801431966436,0.0021889821233126595
chapman_test,sinus_bradycardia,raw,0.1,0.2,31,0.14184224270967744,0.0
chapman_test,sinus_bradycardia,raw,0.2,0.30000000000000004,19,0.24327363263157895,0.15789473684210525
chapman_test,sinus_bradycardia,raw,0.30000000000000004,0.4,19,0.34813696894736845,0.21052631578947367
chapman_test,sinus_bradycardia,raw,0.4,0.5,11,0.4489586718181819,0.5454545454545454
chapman_test,sinus_bradycardia,raw,0.5,0.6000000000000001,7,0.5496523528571429,0.0
chapman_test,sinus_bradycardia,raw,0.6000000000000001,0.7000000000000001,15,0.6487365866666667,0.4666666666666667
chapman_test,sinus_bradycardia,raw,0.7000000000000001,0.8,17,0.7549262029411764,0.5294117647058824
chapman_test,sinus_bradycardia,raw,0.8,0.9,26,0.8549208249999999,0.7307692307692307
chapman_test,sinus_bradycardia,raw,0.9,1.0,1629,0.9955260662860651,0.9840392879066913
chapman_test,sinus_bradycardia,temperature_scaled,0.0,0.1,2721,0.00569706892913969,0.001470047776552738
chapman_test,sinus_bradycardia,temperature_scaled,0.1,0.2,44,0.13757176740705923,0.045454545454545456
chapman_test,sinus_bradycardia,temperature_scaled,0.2,0.30000000000000004,23,0.24758407977636437,0.13043478260869565
chapman_test,sinus_bradycardia,temperature_scaled,0.30000000000000004,0.4,19,0.34906799419201895,0.15789473684210525
chapman_test,sinus_bradycardia,temperature_scaled,0.4,0.5,14,0.44526155595976086,0.5
chapman_test,sinus_bradycardia,temperature_scaled,0.5,0.6000000000000001,8,0.5498250365219957,0.125
chapman_test,sinus_bradycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,16,0.6410073918038848,0.4375
chapman_test,sinus_bradycardia,temperature_scaled,0.7000000000000001,0.8,22,0.7489874016138619,0.5
chapman_test,sinus_bradycardia,temperature_scaled,0.8,0.9,34,0.8638596499341333,0.7941176470588235
chapman_test,sinus_bradycardia,temperature_scaled,0.9,1.0,1614,0.99388887427679,0.9863692688971499
ptbxl_external,sinus_bradycardia,raw,0.0,0.1,1674,0.005724886620327957,0.0005973715651135006
ptbxl_external,sinus_bradycardia,raw,0.1,0.2,35,0.14771299371428573,0.0
ptbxl_external,sinus_bradycardia,raw,0.2,0.30000000000000004,24,0.2435013666666667,0.0
ptbxl_external,sinus_bradycardia,raw,0.30000000000000004,0.4,13,0.35114385307692303,0.0
ptbxl_external,sinus_bradycardia,raw,0.4,0.5,17,0.4577527852941176,0.0
ptbxl_external,sinus_bradycardia,raw,0.5,0.6000000000000001,16,0.555457543125,0.0
ptbxl_external,sinus_bradycardia,raw,0.6000000000000001,0.7000000000000001,23,0.656412492173913,0.043478260869565216
ptbxl_external,sinus_bradycardia,raw,0.7000000000000001,0.8,15,0.7509866306666667,0.0
ptbxl_external,sinus_bradycardia,raw,0.8,0.9,26,0.8536151892307693,0.0
ptbxl_external,sinus_bradycardia,raw,0.9,1.0,355,0.9890311265915495,0.17464788732394365
ptbxl_external,sinus_bradycardia,temperature_scaled,0.0,0.1,1655,0.008105339587596981,0.0006042296072507553
ptbxl_external,sinus_bradycardia,temperature_scaled,0.1,0.2,44,0.14102468630240553,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.2,0.30000000000000004,31,0.24652854950867645,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.30000000000000004,0.4,14,0.35096108149741634,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.4,0.5,19,0.45737077161470185,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.5,0.6000000000000001,18,0.5535282035715319,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,22,0.6453126819781774,0.045454545454545456
ptbxl_external,sinus_bradycardia,temperature_scaled,0.7000000000000001,0.8,22,0.7496807785604124,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.8,0.9,30,0.8600539032216584,0.06666666666666667
ptbxl_external,sinus_bradycardia,temperature_scaled,0.9,1.0,343,0.9872340442377247,0.1749271137026239
chapman_test,sinus_tachycardia,raw,0.0,0.1,3662,0.004350364750457673,0.001365374112506827
chapman_test,sinus_tachycardia,raw,0.1,0.2,42,0.14087139742857144,0.047619047619047616
chapman_test,sinus_tachycardia,raw,0.2,0.30000000000000004,18,0.24186851222222228,0.05555555555555555
chapman_test,sinus_tachycardia,raw,0.30000000000000004,0.4,17,0.33465393411764705,0.23529411764705882
chapman_test,sinus_tachycardia,raw,0.4,0.5,15,0.43815195400000007,0.26666666666666666
chapman_test,sinus_tachycardia,raw,0.5,0.6000000000000001,5,0.566228272,0.2
chapman_test,sinus_tachycardia,raw,0.6000000000000001,0.7000000000000001,11,0.6448978218181819,0.36363636363636365
chapman_test,sinus_tachycardia,raw,0.7000000000000001,0.8,16,0.752191478125,0.5
chapman_test,sinus_tachycardia,raw,0.8,0.9,28,0.8558075639285716,0.5357142857142857
chapman_test,sinus_tachycardia,raw,0.9,1.0,701,0.9947456351212552,0.9700427960057061
chapman_test,sinus_tachycardia,temperature_scaled,0.0,0.1,3640,0.007102793889548172,0.001098901098901099
chapman_test,sinus_tachycardia,temperature_scaled,0.1,0.2,58,0.14592082537305343,0.05172413793103448
chapman_test,sinus_tachycardia,temperature_scaled,0.2,0.30000000000000004,20,0.2472041546913565,0.0
chapman_test,sinus_tachycardia,temperature_scaled,0.30000000000000004,0.4,20,0.3442671762016564,0.25
chapman_test,sinus_tachycardia,temperature_scaled,0.4,0.5,16,0.44368665139577257,0.25
