dataset,class_name,display_name,category,group,count,positive_count,prevalence,sensitivity,specificity,precision,f1,average_precision,roc_auc
chapman_test,atrial_fibrillation,Atrial fibrillation,sex,Female,2000,68,0.034,0.6029411764705882,0.910455486542443,0.19158878504672897,0.2907801418439716,0.21479188472702607,0.9268892339544513
chapman_test,atrial_fibrillation,Atrial fibrillation,sex,Male,2513,110,0.043772383605252686,0.6636363636363637,0.9001248439450686,0.23322683706070288,0.34515366430260047,0.2685244149971465,0.9279688268452313
chapman_test,atrial_fibrillation,Atrial fibrillation,age,0-39,715,0,0.0,0.0,0.9972027972027973,0.0,0.0,,
chapman_test,atrial_fibrillation,Atrial fibrillation,age,40-59,1328,17,0.012801204819277108,0.6470588235294118,0.9641495041952708,0.1896551724137931,0.29333333333333333,0.3241438559619505,0.9764436667115359
chapman_test,atrial_fibrillation,Atrial fibrillation,age,60-79,1874,101,0.05389541088580576,0.6633663366336634,0.8663282571912013,0.22039473684210525,0.3308641975308642,0.25302682375242647,0.9037655034538986
chapman_test,atrial_fibrillation,Atrial fibrillation,age,80+ (includes privacy-coded 90+),594,60,0.10101010101010101,0.6,0.7659176029962547,0.2236024844720497,0.3257918552036199,0.2517634212915907,0.8012796504369538
chapman_test,atrial_fibrillation,Atrial fibrillation,target_label_scope,At least one target label,4336,178,0.041051660516605165,0.6404494382022472,0.9023569023569024,0.21923076923076923,0.32664756446991405,0.24678964315863805,0.9264474601553253
chapman_test,atrial_fibrillation,Atrial fibrillation,target_label_scope,No target label,179,0,0.0,0.0,0.9608938547486033,0.0,0.0,,
chapman_test,atrial_flutter,Atrial flutter,sex,Female,2000,334,0.167,0.9431137724550899,0.93937575030012,0.7572115384615384,0.84,0.7887109751950313,0.9716952649323203
chapman_test,atrial_flutter,Atrial flutter,sex,Male,2513,470,0.1870274572224433,0.9617021276595744,0.9241311796377876,0.7446457990115322,0.8393686165273909,0.8169475157073296,0.9689953239395549
chapman_test,atrial_flutter,Atrial flutter,age,0-39,715,11,0.015384615384615385,0.9090909090909091,0.9971590909090909,0.8333333333333334,0.8695652173913043,0.9274104683195592,0.9983212809917356
chapman_test,atrial_flutter,Atrial flutter,age,40-59,1328,90,0.0677710843373494,0.9444444444444444,0.9781906300484653,0.7589285714285714,0.8415841584158416,0.7999304841793171,0.9899389696643331
chapman_test,atrial_flutter,Atrial flutter,age,60-79,1874,445,0.23745997865528282,0.952808988764045,0.9027291812456263,0.7531083481349912,0.8412698412698413,0.8064115354422625,0.9576760679661269
chapman_test,atrial_flutter,Atrial flutter,age,80+ (includes privacy-coded 90+),594,256,0.43097643097643096,0.9609375,0.7396449704142012,0.7365269461077845,0.8338983050847457,0.8028044699801578,0.8920465051775147
chapman_test,atrial_flutter,Atrial flutter,target_label_scope,At least one target label,4336,804,0.18542435424354242,0.9539800995024875,0.942242355605889,0.7899073120494335,0.864225352112676,0.8138671308444921,0.9714789585481427
chapman_test,atrial_flutter,Atrial flutter,target_label_scope,No target label,179,0,0.0,0.0,0.7039106145251397,0.0,0.0,,
chapman_test,sinus_arrhythmia,Sinus arrhythmia,sex,Female,2000,119,0.0595,0.24369747899159663,0.9681020733652312,0.3258426966292135,0.27884615384615385,0.27790839001920303,0.8538815845317393
chapman_test,sinus_arrhythmia,Sinus arrhythmia,sex,Male,2513,138,0.05491444488658973,0.3188405797101449,0.9776842105263158,0.4536082474226804,0.37446808510638296,0.3980915352059867,0.8900655987795576
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,0-39,715,134,0.1874125874125874,0.5223880597014925,0.9311531841652324,0.6363636363636364,0.5737704918032787,0.6328229990267362,0.8922084928198937
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,40-59,1328,56,0.04216867469879518,0.03571428571428571,0.960691823899371,0.038461538461538464,0.037037037037037035,0.0994845422746273,0.8038522012578617
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,60-79,1874,44,0.023479188900747065,0.022727272727272728,0.9879781420765027,0.043478260869565216,0.029850746268656716,0.059824044609218814,0.788648782911078
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,80+ (includes privacy-coded 90+),594,23,0.03872053872053872,0.0,0.9982486865148862,0.0,0.0,0.20532675047828852,0.9152516561334045
chapman_test,sinus_arrhythmia,Sinus arrhythmia,target_label_scope,At least one target label,4336,257,0.059271217712177124,0.2840466926070039,0.9732777641578818,0.4010989010989011,0.3325740318906606,0.34961690735870865,0.8738837912321152
chapman_test,sinus_arrhythmia,Sinus arrhythmia,target_label_scope,No target label,179,0,0.0,0.0,0.9776536312849162,0.0,0.0,,
chapman_test,sinus_bradycardia,Sinus bradycardia,sex,Female,2000,608,0.304,0.9835526315789473,0.9849137931034483,0.9660743134087237,0.9747351263243684,0.9974046974606311,0.9988072113203267
chapman_test,sinus_bradycardia,Sinus bradycardia,sex,Male,2513,1049,0.4174293672900915,0.9876072449952336,0.9836065573770492,0.9773584905660377,0.9824561403508771,0.9976500132845187,0.9985394625117858
chapman_test,sinus_bradycardia,Sinus bradycardia,age,0-39,715,172,0.24055944055944056,0.9825581395348837,0.990791896869245,0.9712643678160919,0.976878612716763,0.9942181389626926,0.998479592273759
chapman_test,sinus_bradycardia,Sinus bradycardia,age,40-59,1328,637,0.4796686746987952,0.9968602825745683,0.9710564399421129,0.9694656488549618,0.9829721362229102,0.9991136089750798,0.9991957597911701
chapman_test,sinus_bradycardia,Sinus bradycardia,age,60-79,1874,765,0.4082177161152615,0.9790849673202614,0.9837691614066727,0.9765319426336375,0.9778067885117493,0.9970999720739042,0.9981506037942679
chapman_test,sinus_bradycardia,Sinus bradycardia,age,80+ (includes privacy-coded 90+),594,83,0.13973063973063973,0.9759036144578314,0.9960861056751468,0.9759036144578314,0.9759036144578314,0.9969982158020975,0.9995048687902294
chapman_test,sinus_bradycardia,Sinus bradycardia,target_label_scope,At least one target label,4336,1657,0.3821494464944649,0.9861194930597466,0.9888017917133258,0.9819711538461539,0.9840409515206263,0.9988536407857729,0.9992718123458726
chapman_test,sinus_bradycardia,Sinus bradycardia,target_label_scope,No target label,179,0,0.0,0.0,0.9162011173184358,0.0,0.0,,
chapman_test,sinus_rhythm,Sinus rhythm,sex,Female,2000,471,0.2355,0.9554140127388535,0.9483322432962721,0.8506616257088847,0.9,0.9446226910903394,0.9844728733515793
chapman_test,sinus_rhythm,Sinus rhythm,sex,Male,2513,343,0.13649025069637882,0.9125364431486881,0.9626728110599079,0.7944162436548223,0.8493894165535957,0.9044819524009009,0.9825516249949617
chapman_test,sinus_rhythm,Sinus rhythm,age,0-39,715,169,0.23636363636363636,0.8994082840236687,0.8461538461538461,0.6440677966101694,0.7506172839506173,0.8199425284236305,0.938834341201205
chapman_test,sinus_rhythm,Sinus rhythm,age,40-59,1328,326,0.24548192771084337,0.9478527607361963,0.9620758483033932,0.8904899135446686,0.9182763744427934,0.9505409678057013,0.9864626575070716
chapman_test,sinus_rhythm,Sinus rhythm,age,60-79,1874,272,0.14514407684098185,0.9522058823529411,0.9850187265917603,0.9151943462897526,0.9333333333333333,0.9518256114475047,0.9903406587354043
chapman_test,sinus_rhythm,Sinus rhythm,age,80+ (includes privacy-coded 90+),594,47,0.07912457912457913,0.9148936170212766,0.9744058500914077,0.7543859649122807,0.8269230769230769,0.9391171460799679,0.9946322299583804
chapman_test,sinus_rhythm,Sinus rhythm,target_label_scope,At least one target label,4336,814,0.18773062730627307,0.9373464373464373,0.9593980692788189,0.8421633554083885,0.8872093023255814,0.9372970806069179,0.9854463414940416
chapman_test,sinus_rhythm,Sinus rhythm,target_label_scope,No target label,179,0,0.0,0.0,0.9050279329608939,0.0,0.0,,
chapman_test,sinus_tachycardia,Sinus tachycardia,sex,Female,2000,364,0.182,0.9642857142857143,0.991442542787286,0.9616438356164384,0.9629629629629629,0.9930360974924524,0.9984819581396599
chapman_test,sinus_tachycardia,Sinus tachycardia,sex,Male,2513,359,0.14285714285714285,0.9610027855153204,0.9902506963788301,0.9426229508196722,0.9517241379310345,0.9866123408841725,0.9976205440160562
chapman_test,sinus_tachycardia,Sinus tachycardia,age,0-39,715,235,0.32867132867132864,0.9829787234042553,0.9625,0.927710843373494,0.9545454545454546,0.9798146730877951,0.9918971631205674
chapman_test,sinus_tachycardia,Sinus tachycardia,age,40-59,1328,179,0.13478915662650603,0.994413407821229,0.9982593559617058,0.9888888888888889,0.9916434540389972,0.9996914271654826,0.9999513786581482
chapman_test,sinus_tachycardia,Sinus tachycardia,age,60-79,1874,209,0.11152614727854857,0.937799043062201,0.993993993993994,0.9514563106796117,0.944578313253012,0.9893958128191497,0.9979740506056295
chapman_test,sinus_tachycardia,Sinus tachycardia,age,80+ (includes privacy-coded 90+),594,101,0.17003367003367004,0.900990099009901,0.9898580121703854,0.9479166666666666,0.9238578680203046,0.9837919217638846,0.9961038700218906
chapman_test,sinus_tachycardia,Sinus tachycardia,target_label_scope,At least one target label,4336,724,0.1669741697416974,0.9613259668508287,0.9914174972314507,0.9573590096286108,0.9593383873190903,0.9910967165760624,0.998231799465257
chapman_test,sinus_tachycardia,Sinus tachycardia,target_label_scope,No target label,179,0,0.0,0.0,0.9776536312849162,0.0,0.0,,
ptbxl_external,atrial_fibrillation,Atrial fibrillation,sex,Female,1066,71,0.06660412757973734,0.5352112676056338,0.992964824120603,0.8444444444444444,0.6551724137931034,0.7488969458771388,0.9766862481421191
ptbxl_external,atrial_fibrillation,Atrial fibrillation,sex,Male,1132,81,0.0715547703180212,0.49382716049382713,0.9952426260704091,0.8888888888888888,0.6349206349206349,0.8674702059271845,0.9734879186195393
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,0-39,284,1,0.0035211267605633804,0.0,0.9964664310954063,0.0,0.0,0.16666666666666666,0.9823321554770318
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,40-59,641,14,0.0218408736349454,0.42857142857142855,0.9968102073365231,0.75,0.5454545454545454,0.558077327508646,0.9323308270676692
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,60-79,933,67,0.07181136120042872,0.4925373134328358,0.9965357967667436,0.9166666666666666,0.6407766990291263,0.8722836733924848,0.9715452759298198
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,80+ (includes privacy-coded 90+),340,70,0.20588235294117646,0.5571428571428572,0.9777777777777777,0.8666666666666667,0.6782608695652174,0.8734721844518559,0.9693121693121693
ptbxl_external,atrial_fibrillation,Atrial fibrillation,signal_quality,Annotated signal issue,528,43,0.08143939393939394,0.5581395348837209,0.9917525773195877,0.8571428571428571,0.676056338028169,0.8446833513805017,0.9611124430592184
ptbxl_external,atrial_fibrillation,Atrial fibrillation,signal_quality,No annotated issue,1670,109,0.06526946107784432,0.4954128440366973,0.9948750800768738,0.8709677419354839,0.631578947368421,0.7953509318839314,0.9782367219319539
