dataset,class_name,margin,near_threshold_count,near_threshold_fraction,fraction_of_all_errors_near_threshold,error_rate_near_threshold,error_rate_away_from_threshold
chapman_test,atrial_fibrillation,0.01,36,0.007973421926910298,0.03563941299790356,0.4722222222222222,0.10270149586961376
chapman_test,atrial_fibrillation,0.02,77,0.017054263565891473,0.08176100628930817,0.5064935064935064,0.09869310500225327
chapman_test,atrial_fibrillation,0.05,219,0.04850498338870432,0.24528301886792453,0.5342465753424658,0.08379888268156424
chapman_test,atrial_fibrillation,0.1,442,0.09789590254706534,0.549266247379455,0.5927601809954751,0.052786643751534496
chapman_test,atrial_fibrillation,0.15,708,0.1568106312292359,0.9035639412997903,0.6087570621468926,0.012083004990806409
chapman_test,atrial_fibrillation,0.2,792,0.17541528239202658,0.9727463312368972,0.5858585858585859,0.0034918076819769003
chapman_test,atrial_flutter,0.01,11,0.0024363233665559247,0.017006802721088437,0.45454545454545453,0.0641651865008881
chapman_test,atrial_flutter,0.02,27,0.005980066445182724,0.030612244897959183,0.3333333333333333,0.06350267379679145
chapman_test,atrial_flutter,0.05,69,0.015282392026578074,0.1054421768707483,0.4492753623188406,0.05915429599640126
chapman_test,atrial_flutter,0.1,162,0.035880398671096346,0.22448979591836735,0.4074074074074074,0.052377670572019294
chapman_test,atrial_flutter,0.15,497,0.11007751937984496,0.54421768707483,0.32193158953722334,0.03334992533598805
chapman_test,atrial_flutter,0.2,1105,0.24473975636766335,0.9523809523809523,0.25339366515837103,0.004105571847507331
chapman_test,sinus_arrhythmia,0.01,68,0.015060908084163898,0.10774410774410774,0.47058823529411764,0.05959073532718687
chapman_test,sinus_arrhythmia,0.02,136,0.030121816168327795,0.20875420875420875,0.45588235294117646,0.053665220369947475
chapman_test,sinus_arrhythmia,0.05,333,0.07375415282392027,0.4612794612794613,0.4114114114114114,0.03825920612147298
chapman_test,sinus_arrhythmia,0.1,537,0.11893687707641196,0.5892255892255892,0.3258845437616387,0.030668677727501256
chapman_test,sinus_arrhythmia,0.15,668,0.14795127353266888,0.6632996632996633,0.2949101796407186,0.02599428125812321
chapman_test,sinus_arrhythmia,0.2,783,0.173421926910299,0.7138047138047138,0.2707535121328225,0.02277599142550911
chapman_test,sinus_bradycardia,0.01,1,0.00022148394241417498,0.014705882352941176,1.0,0.01484271156402304
chapman_test,sinus_bradycardia,0.02,7,0.0015503875968992248,0.04411764705882353,0.42857142857142855,0.014418811002661935
chapman_test,sinus_bradycardia,0.05,13,0.0028792912513842745,0.10294117647058823,0.5384615384615384,0.013549533540648601
chapman_test,sinus_bradycardia,0.1,26,0.005758582502768549,0.16176470588235295,0.4230769230769231,0.01269770550233905
chapman_test,sinus_bradycardia,0.15,37,0.008194905869324474,0.23529411764705882,0.43243243243243246,0.011612326931665922
