dataset,first_class,second_class,cooccurrence_count
chapman_test,sinus_rhythm,sinus_rhythm,814
chapman_test,sinus_rhythm,sinus_bradycardia,2
chapman_test,sinus_rhythm,sinus_tachycardia,0
chapman_test,sinus_rhythm,sinus_arrhythmia,23
chapman_test,sinus_rhythm,atrial_fibrillation,0
chapman_test,sinus_rhythm,atrial_flutter,2
chapman_test,sinus_bradycardia,sinus_rhythm,2
chapman_test,sinus_bradycardia,sinus_bradycardia,1657
chapman_test,sinus_bradycardia,sinus_tachycardia,0
chapman_test,sinus_bradycardia,sinus_arrhythmia,72
chapman_test,sinus_bradycardia,atrial_fibrillation,0
chapman_test,sinus_bradycardia,atrial_flutter,0
chapman_test,sinus_tachycardia,sinus_rhythm,0
chapman_test,sinus_tachycardia,sinus_bradycardia,0
chapman_test,sinus_tachycardia,sinus_tachycardia,724
chapman_test,sinus_tachycardia,sinus_arrhythmia,1
chapman_test,sinus_tachycardia,atrial_fibrillation,0
chapman_test,sinus_tachycardia,atrial_flutter,0
chapman_test,sinus_arrhythmia,sinus_rhythm,23
chapman_test,sinus_arrhythmia,sinus_bradycardia,72
chapman_test,sinus_arrhythmia,sinus_tachycardia,1
chapman_test,sinus_arrhythmia,sinus_arrhythmia,257
chapman_test,sinus_arrhythmia,atrial_fibrillation,0
chapman_test,sinus_arrhythmia,atrial_flutter,0
chapman_test,atrial_fibrillation,sinus_rhythm,0
chapman_test,atrial_fibrillation,sinus_bradycardia,0
chapman_test,atrial_fibrillation,sinus_tachycardia,0
chapman_test,atrial_fibrillation,sinus_arrhythmia,0
chapman_test,atrial_fibrillation,atrial_fibrillation,178
chapman_test,atrial_fibrillation,atrial_flutter,0
chapman_test,atrial_flutter,sinus_rhythm,2
chapman_test,atrial_flutter,sinus_bradycardia,0
chapman_test,atrial_flutter,sinus_tachycardia,0
chapman_test,atrial_flutter,sinus_arrhythmia,0
chapman_test,atrial_flutter,atrial_fibrillation,0
chapman_test,atrial_flutter,atrial_flutter,804
ptbxl_external,sinus_rhythm,sinus_rhythm,1674
ptbxl_external,sinus_rhythm,sinus_bradycardia,0
ptbxl_external,sinus_rhythm,sinus_tachycardia,0
ptbxl_external,sinus_rhythm,sinus_arrhythmia,1
ptbxl_external,sinus_rhythm,atrial_fibrillation,0
ptbxl_external,sinus_rhythm,atrial_flutter,2
ptbxl_external,sinus_bradycardia,sinus_rhythm,0
ptbxl_external,sinus_bradycardia,sinus_bradycardia,64
ptbxl_external,sinus_bradycardia,sinus_tachycardia,0
ptbxl_external,sinus_bradycardia,sinus_arrhythmia,0
ptbxl_external,sinus_bradycardia,atrial_fibrillation,0
ptbxl_external,sinus_bradycardia,atrial_flutter,0
ptbxl_external,sinus_tachycardia,sinus_rhythm,0
ptbxl_external,sinus_tachycardia,sinus_bradycardia,0
ptbxl_external,sinus_tachycardia,sinus_tachycardia,82
ptbxl_external,sinus_tachycardia,sinus_arrhythmia,0
ptbxl_external,sinus_tachycardia,atrial_fibrillation,0
ptbxl_external,sinus_tachycardia,atrial_flutter,0
ptbxl_external,sinus_arrhythmia,sinus_rhythm,1
ptbxl_external,sinus_arrhythmia,sinus_bradycardia,0
ptbxl_external,sinus_arrhythmia,sinus_tachycardia,0
ptbxl_external,sinus_arrhythmia,sinus_arrhythmia,77
ptbxl_external,sinus_arrhythmia,atrial_fibrillation,0
ptbxl_external,sinus_arrhythmia,atrial_flutter,0
ptbxl_external,atrial_fibrillation,sinus_rhythm,0
ptbxl_external,atrial_fibrillation,sinus_bradycardia,0
ptbxl_external,atrial_fibrillation,sinus_tachycardia,0
ptbxl_external,atrial_fibrillation,sinus_arrhythmia,0
ptbxl_external,atrial_fibrillation,atrial_fibrillation,152
ptbxl_external,atrial_fibrillation,atrial_flutter,2
ptbxl_external,atrial_flutter,sinus_rhythm,2
ptbxl_external,atrial_flutter,sinus_bradycardia,0
ptbxl_external,atrial_flutter,sinus_tachycardia,0
ptbxl_external,atrial_flutter,sinus_arrhythmia,0
ptbxl_external,atrial_flutter,atrial_fibrillation,2
ptbxl_external,atrial_flutter,atrial_flutter,7
