dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
chapman_test,sinus_rhythm,raw,0.0,0.1,2918,0.01152774360699743,0.0027416038382453737
chapman_test,sinus_rhythm,raw,0.1,0.2,154,0.1435219909935065,0.012987012987012988
chapman_test,sinus_rhythm,raw,0.2,0.30000000000000004,96,0.24553969249999996,0.020833333333333332
chapman_test,sinus_rhythm,raw,0.30000000000000004,0.4,83,0.3494583093975903,0.024096385542168676
chapman_test,sinus_rhythm,raw,0.4,0.5,60,0.4473296023333333,0.13333333333333333
chapman_test,sinus_rhythm,raw,0.5,0.6000000000000001,55,0.546923965090909,0.10909090909090909
chapman_test,sinus_rhythm,raw,0.6000000000000001,0.7000000000000001,51,0.6486086907843136,0.19607843137254902
chapman_test,sinus_rhythm,raw,0.7000000000000001,0.8,49,0.754318737755102,0.2857142857142857
chapman_test,sinus_rhythm,raw,0.8,0.9,59,0.8528442581355933,0.5423728813559322
chapman_test,sinus_rhythm,raw,0.9,1.0,812,0.9861790165886699,0.8990147783251231
chapman_test,sinus_rhythm,temperature_scaled,0.0,0.1,2778,0.01816201552675732,0.0021598272138228943
chapman_test,sinus_rhythm,temperature_scaled,0.1,0.2,233,0.1415100228368009,0.017167381974248927
chapman_test,sinus_rhythm,temperature_scaled,0.2,0.30000000000000004,118,0.24542502136963237,0.0
chapman_test,sinus_rhythm,temperature_scaled,0.30000000000000004,0.4,103,0.34917364651422766,0.038834951456310676
chapman_test,sinus_rhythm,temperature_scaled,0.4,0.5,79,0.4461611142219615,0.10126582278481013
chapman_test,sinus_rhythm,temperature_scaled,0.5,0.6000000000000001,66,0.5459851957338484,0.13636363636363635
chapman_test,sinus_rhythm,temperature_scaled,0.6000000000000001,0.7000000000000001,60,0.6473703663024698,0.2
chapman_test,sinus_rhythm,temperature_scaled,0.7000000000000001,0.8,56,0.7522572121992775,0.3392857142857143
chapman_test,sinus_rhythm,temperature_scaled,0.8,0.9,65,0.8536055293390752,0.6615384615384615
chapman_test,sinus_rhythm,temperature_scaled,0.9,1.0,779,0.9752249128443418,0.9101412066752247
ptbxl_external,sinus_rhythm,raw,0.0,0.1,570,0.0128743808586193,0.4017543859649123
ptbxl_external,sinus_rhythm,raw,0.1,0.2,52,0.15397582680769234,0.6538461538461539
ptbxl_external,sinus_rhythm,raw,0.2,0.30000000000000004,34,0.24347802382352945,0.6764705882352942
ptbxl_external,sinus_rhythm,raw,0.30000000000000004,0.4,16,0.33281465499999996,0.875
ptbxl_external,sinus_rhythm,raw,0.4,0.5,24,0.44504218375000004,0.7083333333333334
ptbxl_external,sinus_rhythm,raw,0.5,0.6000000000000001,16,0.55880422125,0.6875
ptbxl_external,sinus_rhythm,raw,0.6000000000000001,0.7000000000000001,23,0.6490335226086956,0.782608695652174
ptbxl_external,sinus_rhythm,raw,0.7000000000000001,0.8,46,0.7509866086956523,0.6739130434782609
ptbxl_external,sinus_rhythm,raw,0.8,0.9,90,0.8548846063333334,0.7333333333333333
ptbxl_external,sinus_rhythm,raw,0.9,1.0,1327,0.985301033270535,0.9276563677467973
ptbxl_external,sinus_rhythm,temperature_scaled,0.0,0.1,542,0.02032967256077738,0.39114391143911437
ptbxl_external,sinus_rhythm,temperature_scaled,0.1,0.2,52,0.1477916416375315,0.6153846153846154
ptbxl_external,sinus_rhythm,temperature_scaled,0.2,0.30000000000000004,48,0.24498989930263101,0.7291666666666666
