dataset,class_name,display_name,category,group,count,positive_count,prevalence,sensitivity,specificity,precision,f1,average_precision,roc_auc
chapman_test,atrial_fibrillation,Atrial fibrillation,sex,Female,1927,70,0.03632589517384536,0.8285714285714286,0.868066774367259,0.19141914191419143,0.3109919571045576,0.21068801346147353,0.9214631894761136
chapman_test,atrial_fibrillation,Atrial fibrillation,sex,Male,2410,108,0.044813278008298756,0.8055555555555556,0.8783666377063423,0.23705722070844687,0.3663157894736842,0.2636835342666975,0.9299441709302699
chapman_test,atrial_fibrillation,Atrial fibrillation,age,0-39,683,1,0.0014641288433382138,1.0,0.9868035190615836,0.1,0.18181818181818182,0.125,0.9897360703812317
chapman_test,atrial_fibrillation,Atrial fibrillation,age,40-59,1267,22,0.017363851617995266,0.8636363636363636,0.957429718875502,0.2638888888888889,0.40425531914893614,0.32531018951681634,0.9745892661555312
chapman_test,atrial_fibrillation,Atrial fibrillation,age,60-79,1828,100,0.05470459518599562,0.82,0.8350694444444444,0.22343324250681199,0.3511777301927195,0.24066029105952905,0.9030150462962963
chapman_test,atrial_fibrillation,Atrial fibrillation,age,80+ (includes privacy-coded 90+),555,55,0.0990990990990991,0.7818181818181819,0.648,0.1963470319634703,0.31386861313868614,0.2293822205859819,0.7966181818181819
chapman_test,atrial_flutter,Atrial flutter,sex,Female,1927,340,0.17644006227296316,0.9735294117647059,0.9495904221802143,0.805352798053528,0.881491344873502,0.8485978519859784,0.9767671151636459
chapman_test,atrial_flutter,Atrial flutter,sex,Male,2410,466,0.1933609958506224,0.9763948497854077,0.9320987654320988,0.7751277683134583,0.8641975308641975,0.8377198248835706,0.9728977904943571
chapman_test,atrial_flutter,Atrial flutter,age,0-39,683,11,0.016105417276720352,0.9090909090909091,0.9880952380952381,0.5555555555555556,0.6896551724137931,0.6551809301809302,0.9949945887445887
chapman_test,atrial_flutter,Atrial flutter,age,40-59,1267,88,0.06945540647198106,0.9431818181818182,0.9762510602205259,0.7477477477477478,0.8341708542713567,0.8129486357956971,0.9895327318991441
chapman_test,atrial_flutter,Atrial flutter,age,60-79,1828,433,0.23687089715536105,0.9745958429561201,0.9182795698924732,0.7873134328358209,0.8710010319917441,0.8313966470438253,0.9639400034766197
chapman_test,atrial_flutter,Atrial flutter,age,80+ (includes privacy-coded 90+),555,270,0.4864864864864865,0.9888888888888889,0.7824561403508772,0.8115501519756839,0.8914858096828047,0.8714722921580481,0.9132033788174139
chapman_test,sinus_arrhythmia,Sinus arrhythmia,sex,Female,1927,119,0.06175402179553711,0.42016806722689076,0.9629424778761062,0.42735042735042733,0.423728813559322,0.4052866556408848,0.882594630772663
chapman_test,sinus_arrhythmia,Sinus arrhythmia,sex,Male,2410,136,0.056431535269709544,0.47794117647058826,0.9507475813544415,0.3672316384180791,0.41533546325878595,0.5047889917541533,0.896871281494128
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,0-39,683,136,0.19912152269399708,0.7573529411764706,0.8427787934186471,0.544973544973545,0.6338461538461538,0.6910965097936046,0.897435208086891
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,40-59,1267,54,0.042620363062352014,0.12962962962962962,0.9530090684253916,0.109375,0.11864406779661017,0.13699786307799125,0.8221428353332723
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,60-79,1828,49,0.026805251641137857,0.061224489795918366,0.9842608206857786,0.0967741935483871,0.075,0.09876871798800077,0.8201351366853655
chapman_test,sinus_arrhythmia,Sinus arrhythmia,age,80+ (includes privacy-coded 90+),555,16,0.02882882882882883,0.125,0.9851576994434137,0.2,0.15384615384615385,0.25094985775605044,0.9049165120593692
chapman_test,sinus_bradycardia,Sinus bradycardia,sex,Female,1927,632,0.3279709392838609,0.9841772151898734,0.9876447876447877,0.9749216300940439,0.9795275590551181,0.9978991721745467,0.9990274180147598
chapman_test,sinus_bradycardia,Sinus bradycardia,sex,Male,2410,1023,0.42448132780082987,0.9863147605083089,0.9935111751982696,0.9911591355599214,0.9887310142087212,0.9993122763327213,0.9994904507079775
chapman_test,sinus_bradycardia,Sinus bradycardia,age,0-39,683,169,0.24743777452415813,0.9704142011834319,0.9922178988326849,0.9761904761904762,0.973293768545994,0.9963449192929492,0.9988603135864436
chapman_test,sinus_bradycardia,Sinus bradycardia,age,40-59,1267,624,0.4925019731649566,0.9919871794871795,0.9906687402799378,0.9904,0.9911929543634908,0.9996217257906268,0.9996386130717391
chapman_test,sinus_bradycardia,Sinus bradycardia,age,60-79,1828,769,0.4206783369803063,0.988296488946684,0.9886685552407932,0.9844559585492227,0.9863724853990915,0.9990560841601372,0.9993295439056646
chapman_test,sinus_bradycardia,Sinus bradycardia,age,80+ (includes privacy-coded 90+),555,93,0.16756756756756758,0.946236559139785,0.9935064935064936,0.967032967032967,0.9565217391304348,0.9944451088109565,0.9989061118093376
chapman_test,sinus_rhythm,Sinus rhythm,sex,Female,1927,450,0.233523611831863,0.94,0.962762356127285,0.8849372384937239,0.9116379310344828,0.9462827905035643,0.9860362596855488
chapman_test,sinus_rhythm,Sinus rhythm,sex,Male,2410,364,0.15103734439834024,0.9395604395604396,0.9701857282502444,0.8486352357320099,0.8917861799217731,0.9254706349811024,0.9866960995993255
chapman_test,sinus_rhythm,Sinus rhythm,age,0-39,683,173,0.25329428989751096,0.8670520231213873,0.888235294117647,0.7246376811594203,0.7894736842105263,0.849323087154442,0.9432505950357022
chapman_test,sinus_rhythm,Sinus rhythm,age,40-59,1267,312,0.2462509865824783,0.9775641025641025,0.9685863874345549,0.9104477611940298,0.9428129829984544,0.9500336990505187,0.9896663981742516
chapman_test,sinus_rhythm,Sinus rhythm,age,60-79,1828,277,0.15153172866520787,0.9566787003610109,0.9871050934880722,0.9298245614035088,0.9430604982206405,0.9730621355306461,0.994167033263738
chapman_test,sinus_rhythm,Sinus rhythm,age,80+ (includes privacy-coded 90+),555,52,0.0936936936936937,0.8653846153846154,0.9821073558648111,0.8333333333333334,0.8490566037735849,0.8540227583065981,0.9871539990824285
chapman_test,sinus_tachycardia,Sinus tachycardia,sex,Female,1927,364,0.18889465490399585,0.9807692307692307,0.9859245041586693,0.941952506596306,0.9609690444145357,0.9923121349441325,0.9983442660985847
chapman_test,sinus_tachycardia,Sinus tachycardia,sex,Male,2410,362,0.15020746887966804,0.9696132596685083,0.98974609375,0.9435483870967742,0.9564032697547684,0.9871091212393126,0.9976665012085635
chapman_test,sinus_tachycardia,Sinus tachycardia,age,0-39,683,227,0.3323572474377745,0.986784140969163,0.9627192982456141,0.9294605809128631,0.9572649572649573,0.9821873704985788,0.9927641239663034
chapman_test,sinus_tachycardia,Sinus tachycardia,age,40-59,1267,194,0.15311760063141278,0.9845360824742269,0.9925442684063374,0.9597989949748744,0.9720101781170484,0.9966213432669417,0.9994091140553991
chapman_test,sinus_tachycardia,Sinus tachycardia,age,60-79,1828,228,0.12472647702407003,0.9649122807017544,0.9925,0.9482758620689655,0.9565217391304348,0.9876485613229545,0.997749451754386
chapman_test,sinus_tachycardia,Sinus tachycardia,age,80+ (includes privacy-coded 90+),555,77,0.13873873873873874,0.948051948051948,0.9874476987447699,0.9240506329113924,0.9358974358974359,0.9872122347543989,0.9977721023746128
ptbxl_external,atrial_fibrillation,Atrial fibrillation,sex,Female,1066,71,0.06660412757973734,0.647887323943662,0.9909547738693467,0.8363636363636363,0.7301587301587301,0.839447847658866,0.9749026824262156
ptbxl_external,atrial_fibrillation,Atrial fibrillation,sex,Male,1132,81,0.0715547703180212,0.7037037037037037,0.9914367269267365,0.8636363636363636,0.7755102040816326,0.8537984583012964,0.9755435740212144
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,0-39,284,1,0.0035211267605633804,0.0,1.0,0.0,0.0,0.05263157894736842,0.9363957597173145
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,40-59,641,14,0.0218408736349454,0.7142857142857143,0.9968102073365231,0.8333333333333334,0.7692307692307693,0.6992682383190113,0.9113693324219639
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,60-79,933,67,0.07181136120042872,0.7014925373134329,0.9896073903002309,0.8392857142857143,0.7642276422764228,0.8556088864648633,0.9762331529419874
ptbxl_external,atrial_fibrillation,Atrial fibrillation,age,80+ (includes privacy-coded 90+),340,70,0.20588235294117646,0.6571428571428571,0.9740740740740741,0.8679245283018868,0.7479674796747967,0.9035777715416047,0.9728571428571429
ptbxl_external,atrial_fibrillation,Atrial fibrillation,signal_quality,Annotated signal issue,528,43,0.08143939393939394,0.6511627906976745,0.9876288659793815,0.8235294117647058,0.7272727272727273,0.870418476069873,0.9629345480700072
ptbxl_external,atrial_fibrillation,Atrial fibrillation,signal_quality,No annotated issue,1670,109,0.06526946107784432,0.6880733944954128,0.9923126201153107,0.8620689655172413,0.7653061224489796,0.84108648575526,0.9797883031930837
ptbxl_external,atrial_flutter,Atrial flutter,sex,Female,1066,2,0.001876172607879925,1.0,0.9163533834586466,0.02197802197802198,0.043010752688172046,0.15555555555555556,0.9906015037593985
ptbxl_external,atrial_flutter,Atrial flutter,sex,Male,1132,5,0.00441696113074205,0.8,0.90150842945874,0.034782608695652174,0.06666666666666667,0.09790276060980635,0.8440106477373559
ptbxl_external,atrial_flutter,Atrial flutter,age,0-39,284,0,0.0,0.0,0.9894366197183099,0.0,0.0,,
ptbxl_external,atrial_flutter,Atrial flutter,age,40-59,641,0,0.0,0.0,0.9750390015600624,0.0,0.0,,
ptbxl_external,atrial_flutter,Atrial flutter,age,60-79,933,5,0.0053590568060021436,0.8,0.90625,0.04395604395604396,0.08333333333333333,0.19514999162057986,0.8422413793103449
ptbxl_external,atrial_flutter,Atrial flutter,age,80+ (includes privacy-coded 90+),340,2,0.0058823529411764705,1.0,0.7218934911242604,0.020833333333333332,0.04081632653061224,0.06601731601731602,0.9349112426035503
ptbxl_external,atrial_flutter,Atrial flutter,signal_quality,Annotated signal issue,528,2,0.003787878787878788,1.0,0.8650190114068441,0.0273972602739726,0.05333333333333334,0.375,0.9933460076045627
ptbxl_external,atrial_flutter,Atrial flutter,signal_quality,No annotated issue,1670,5,0.0029940119760479044,0.8,0.9225225225225225,0.03007518796992481,0.057971014492753624,0.06995411605937922,0.851051051051051
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,sex,Female,1066,48,0.0450281425891182,0.20833333333333334,0.9115913555992141,0.1,0.13513513513513514,0.11346659821315272,0.6904469548133596
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,sex,Male,1132,29,0.02561837455830389,0.2413793103448276,0.8957388939256573,0.05737704918032787,0.09271523178807947,0.0547328091372937,0.6869040547722511
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,0-39,284,31,0.10915492957746478,0.45161290322580644,0.6561264822134387,0.13861386138613863,0.21212121212121213,0.17340315798334238,0.5819201836032131
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,40-59,641,19,0.029641185647425898,0.05263157894736842,0.9131832797427653,0.01818181818181818,0.02702702702702703,0.038177691056624295,0.6141479099678456
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,60-79,933,18,0.01929260450160772,0.0,0.9387978142076503,0.0,0.0,0.02387717615970507,0.6027929568913175
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,age,80+ (includes privacy-coded 90+),340,9,0.026470588235294117,0.2222222222222222,0.9758308157099698,0.2,0.21052631578947367,0.14442982149802006,0.7804632426988922
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,signal_quality,Annotated signal issue,528,25,0.04734848484848485,0.12,0.9284294234592445,0.07692307692307693,0.09375,0.09488484922652686,0.7269184890656064
ptbxl_external,sinus_arrhythmia,Sinus arrhythmia,signal_quality,No annotated issue,1670,52,0.031137724550898204,0.2692307692307692,0.8955500618046972,0.07650273224043716,0.11914893617021277,0.0941205333036261,0.6753589426642579
ptbxl_external,sinus_bradycardia,Sinus bradycardia,sex,Female,1066,27,0.025328330206378986,0.9629629629629629,0.875842155919153,0.16774193548387098,0.2857142857142857,0.1651332443327344,0.9226464192777956
ptbxl_external,sinus_bradycardia,Sinus bradycardia,sex,Male,1132,37,0.03268551236749117,0.972972972972973,0.828310502283105,0.16071428571428573,0.27586206896551724,0.1452272234892604,0.9082068369739602
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,0-39,284,11,0.03873239436619718,1.0,0.8131868131868132,0.1774193548387097,0.3013698630136986,0.37030685610477343,0.9483849483849485
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,40-59,641,23,0.0358814352574103,0.9565217391304348,0.8284789644012945,0.171875,0.2913907284768212,0.15603085710627757,0.9030533277050795
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,60-79,933,24,0.02572347266881029,0.9583333333333334,0.8547854785478548,0.14838709677419354,0.2569832402234637,0.12957887956125436,0.9016776677667766
ptbxl_external,sinus_bradycardia,Sinus bradycardia,age,80+ (includes privacy-coded 90+),340,6,0.01764705882352941,1.0,0.9161676646706587,0.17647058823529413,0.3,0.19499341238471674,0.9600798403193612
ptbxl_external,sinus_bradycardia,Sinus bradycardia,signal_quality,Annotated signal issue,528,14,0.026515151515151516,0.9285714285714286,0.8657587548638133,0.15853658536585366,0.2708333333333333,0.15816591901524132,0.8938299055030573
ptbxl_external,sinus_bradycardia,Sinus bradycardia,signal_quality,No annotated issue,1670,50,0.029940119760479042,0.98,0.8469135802469135,0.16498316498316498,0.2824207492795389,0.14994864518634032,0.9204938271604939
ptbxl_external,sinus_rhythm,Sinus rhythm,sex,Female,1066,796,0.7467166979362101,0.8140703517587939,0.7444444444444445,0.9037656903765691,0.8565763384005287,0.9355490442432912,0.8492601898380793
ptbxl_external,sinus_rhythm,Sinus rhythm,sex,Male,1132,878,0.7756183745583038,0.7437357630979499,0.7913385826771654,0.9249291784702549,0.8244949494949495,0.9341966818639965,0.8255923448065574
ptbxl_external,sinus_rhythm,Sinus rhythm,age,0-39,284,229,0.8063380281690141,0.74235807860262,0.6363636363636364,0.8947368421052632,0.8114558472553699,0.9112443711310108,0.7356093687971417
ptbxl_external,sinus_rhythm,Sinus rhythm,age,40-59,641,535,0.8346333853354134,0.794392523364486,0.6509433962264151,0.9199134199134199,0.8525576730190572,0.93874593838845,0.7842179509786633
ptbxl_external,sinus_rhythm,Sinus rhythm,age,60-79,933,722,0.7738478027867095,0.7922437673130194,0.7867298578199052,0.9270664505672609,0.8543689320388349,0.9495199972319603,0.8568943561197832
ptbxl_external,sinus_rhythm,Sinus rhythm,age,80+ (includes privacy-coded 90+),340,188,0.5529411764705883,0.7127659574468085,0.868421052631579,0.8701298701298701,0.783625730994152,0.8753664249867801,0.8584126539753639
ptbxl_external,sinus_rhythm,Sinus rhythm,signal_quality,Annotated signal issue,528,384,0.7272727272727273,0.75,0.7638888888888888,0.8944099378881988,0.8158640226628895,0.9163953714993032,0.8261357060185186
ptbxl_external,sinus_rhythm,Sinus rhythm,signal_quality,No annotated issue,1670,1290,0.7724550898203593,0.7852713178294574,0.7684210526315789,0.9200726612170754,0.8473442074445838,0.9386407464452912,0.8386372909016727
ptbxl_external,sinus_tachycardia,Sinus tachycardia,sex,Female,1066,49,0.04596622889305816,0.9387755102040817,0.9734513274336283,0.6301369863013698,0.7540983606557377,0.8668864886717388,0.9873577749683944
ptbxl_external,sinus_tachycardia,Sinus tachycardia,sex,Male,1132,33,0.029151943462897525,1.0,0.9808917197452229,0.6111111111111112,0.7586206896551724,0.892255063414475,0.9971323792979844
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,0-39,284,7,0.02464788732394366,1.0,0.9927797833935018,0.7777777777777778,0.875,0.9999999999999998,1.0
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,40-59,641,21,0.0327613104524181,0.9047619047619048,0.9854838709677419,0.6785714285714286,0.7755102040816326,0.8998910195035092,0.98678955453149
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,60-79,933,29,0.031082529474812434,1.0,0.9712389380530974,0.5272727272727272,0.6904761904761905,0.8426644302298063,0.9954989319499542
ptbxl_external,sinus_tachycardia,Sinus tachycardia,age,80+ (includes privacy-coded 90+),340,25,0.07352941176470588,0.96,0.9650793650793651,0.6857142857142857,0.8,0.8913655692223685,0.9906031746031747
ptbxl_external,sinus_tachycardia,Sinus tachycardia,signal_quality,Annotated signal issue,528,21,0.03977272727272727,0.9523809523809523,0.9783037475345168,0.6451612903225806,0.7692307692307693,0.7781010580744172,0.9906076829153752
ptbxl_external,sinus_tachycardia,Sinus tachycardia,signal_quality,No annotated issue,1670,61,0.03652694610778443,0.9672131147540983,0.9770043505282784,0.6145833333333334,0.7515923566878981,0.9097305380675309,0.9926744032032929
