dataset,class_name,margin,near_threshold_count,near_threshold_fraction,fraction_of_all_errors_near_threshold,error_rate_near_threshold,error_rate_away_from_threshold
chapman_test,atrial_fibrillation,0.01,88,0.02029052340327415,0.08243727598566308,0.5227272727272727,0.120498940927277
chapman_test,atrial_fibrillation,0.02,192,0.04427023287987088,0.1917562724014337,0.5572916666666666,0.10880579010856453
chapman_test,atrial_fibrillation,0.05,571,0.13165782799169934,0.6577060931899642,0.6427320490367776,0.050716941051513545
chapman_test,atrial_fibrillation,0.1,878,0.2024440857735762,0.9910394265232975,0.6298405466970387,0.0014455044810638912
chapman_test,atrial_fibrillation,0.15,918,0.21166705095688262,0.9946236559139785,0.6045751633986928,0.0008774495466510676
chapman_test,atrial_fibrillation,0.2,939,0.2165091076781185,0.996415770609319,0.5921192758253461,0.0005885815185403178
chapman_test,atrial_flutter,0.01,9,0.0020751671662439476,0.021551724137931036,0.5555555555555556,0.05244916820702403
chapman_test,atrial_flutter,0.02,13,0.0029974636845745907,0.021551724137931036,0.38461538461538464,0.05249768732654949
chapman_test,atrial_flutter,0.05,58,0.013373299515794327,0.08189655172413793,0.3275862068965517,0.049777985510633324
chapman_test,atrial_flutter,0.1,542,0.12497117823380217,0.5862068965517241,0.25092250922509224,0.025296442687747035
chapman_test,atrial_flutter,0.15,1013,0.23357159326723542,0.9439655172413793,0.21618953603158933,0.003910950661853189
chapman_test,atrial_flutter,0.2,1034,0.23841364998847128,0.9525862068965517,0.2137330754352031,0.003330305782621859
chapman_test,sinus_arrhythmia,0.01,65,0.014987318422872953,0.0877742946708464,0.4307692307692308,0.06811797752808989
chapman_test,sinus_arrhythmia,0.02,142,0.03274152640073784,0.21630094043887146,0.4859154929577465,0.05959475566150179
chapman_test,sinus_arrhythmia,0.05,339,0.07816462992852202,0.49843260188087773,0.4690265486725664,0.0400200100050025
chapman_test,sinus_arrhythmia,0.1,641,0.14779801706248558,0.7178683385579937,0.35725429017160687,0.024350649350649352
chapman_test,sinus_arrhythmia,0.15,878,0.2024440857735762,0.7899686520376176,0.2870159453302961,0.019369760046256145
chapman_test,sinus_arrhythmia,0.2,1077,0.24832833756052572,0.8589341692789969,0.25441039925719594,0.013803680981595092
chapman_test,sinus_bradycardia,0.01,4,0.0009222965183306433,0.061224489795918366,0.75,0.010616201246249712
chapman_test,sinus_bradycardia,0.02,8,0.0018445930366612867,0.12244897959183673,0.75,0.009933009933009933
chapman_test,sinus_bradycardia,0.05,18,0.004150334332487895,0.24489795918367346,0.6666666666666666,0.008566797869877286
chapman_test,sinus_bradycardia,0.1,41,0.009453539312889093,0.3877551020408163,0.4634146341463415,0.006983240223463687
chapman_test,sinus_bradycardia,0.15,62,0.014295596034124971,0.5102040816326531,0.4032258064516129,0.005614035087719298
chapman_test,sinus_bradycardia,0.2,82,0.018907078625778187,0.5510204081632653,0.32926829268292684,0.005170387779083431
chapman_test,sinus_rhythm,0.01,9,0.0020751671662439476,0.048484848484848485,0.8888888888888888,0.036275415896487986
chapman_test,sinus_rhythm,0.02,23,0.005303204980401199,0.07878787878787878,0.5652173913043478,0.03523412146499768
chapman_test,sinus_rhythm,0.05,50,0.011528706479133042,0.15757575757575756,0.52,0.0324236062514579
chapman_test,sinus_rhythm,0.1,101,0.023287987087848742,0.2606060606060606,0.42574257425742573,0.028800755429650614
chapman_test,sinus_rhythm,0.15,167,0.03850587964030436,0.36363636363636365,0.3592814371257485,0.025179856115107913
chapman_test,sinus_rhythm,0.2,375,0.08646529859349782,0.6181818181818182,0.272,0.015901060070671377
chapman_test,sinus_tachycardia,0.01,3,0.0006917223887479825,0.01639344262295082,0.3333333333333333,0.01384402399630826
chapman_test,sinus_tachycardia,0.02,4,0.0009222965183306433,0.03278688524590164,0.5,0.013616432033233325
chapman_test,sinus_tachycardia,0.05,6,0.001383444777495965,0.04918032786885246,0.5,0.013391826368044332
chapman_test,sinus_tachycardia,0.1,20,0.004611482591653216,0.14754098360655737,0.45,0.012045401899467222
chapman_test,sinus_tachycardia,0.15,39,0.008992391053723773,0.19672131147540983,0.3076923076923077,0.011400651465798045
chapman_test,sinus_tachycardia,0.2,57,0.013142725386211668,0.2459016393442623,0.2631578947368421,0.01074766355140187
ptbxl_external,atrial_fibrillation,0.01,18,0.00818926296633303,0.14925373134328357,0.5555555555555556,0.02614678899082569
ptbxl_external,atrial_fibrillation,0.02,37,0.01683348498635123,0.2537313432835821,0.4594594594594595,0.02313743637204998
ptbxl_external,atrial_fibrillation,0.05,107,0.04868061874431301,0.582089552238806,0.3644859813084112,0.013390722142515544
ptbxl_external,atrial_fibrillation,0.1,164,0.0746132848043676,0.7164179104477612,0.2926829268292683,0.009341199606686333
ptbxl_external,atrial_fibrillation,0.15,179,0.08143767060964513,0.7761194029850746,0.2905027932960894,0.007429420505200594
ptbxl_external,atrial_fibrillation,0.2,189,0.08598726114649681,0.8059701492537313,0.2857142857142857,0.006470881035340966
ptbxl_external,atrial_flutter,0.01,7,0.0031847133757961785,0.014925373134328358,0.42857142857142855,0.09036969420356002
ptbxl_external,atrial_flutter,0.02,14,0.006369426751592357,0.04477611940298507,0.6428571428571429,0.08791208791208792
ptbxl_external,atrial_flutter,0.05,33,0.015013648771610554,0.1044776119402985,0.6363636363636364,0.08314087759815242
ptbxl_external,atrial_flutter,0.1,135,0.061419472247497726,0.5472636815920398,0.8148148148148148,0.04411051866214251
ptbxl_external,atrial_flutter,0.15,235,0.10691537761601456,0.9800995024875622,0.8382978723404255,0.0020376974019358125
ptbxl_external,atrial_flutter,0.2,248,0.11282984531392175,0.9950248756218906,0.8064516129032258,0.0005128205128205128
ptbxl_external,sinus_arrhythmia,0.01,104,0.047315741583257506,0.18490566037735848,0.47115384615384615,0.10315186246418338
ptbxl_external,sinus_arrhythmia,0.02,191,0.08689717925386715,0.33962264150943394,0.4712041884816754,0.08719481813652218
ptbxl_external,sinus_arrhythmia,0.05,397,0.18061874431301184,0.5962264150943396,0.3979848866498741,0.05941143808995003
ptbxl_external,sinus_arrhythmia,0.1,682,0.31028207461328483,0.8603773584905661,0.3343108504398827,0.024406332453825858
ptbxl_external,sinus_arrhythmia,0.15,892,0.40582347588717016,0.8981132075471698,0.26681614349775784,0.020673813169984685
ptbxl_external,sinus_arrhythmia,0.2,1062,0.48316651501364877,0.9207547169811321,0.2297551789077213,0.018485915492957746
ptbxl_external,sinus_bradycardia,0.01,2,0.0009099181073703367,0.0,0.0,0.145264116575592
ptbxl_external,sinus_bradycardia,0.02,5,0.0022747952684258415,0.003134796238244514,0.2,0.14500683994528044
ptbxl_external,sinus_bradycardia,0.05,14,0.006369426751592357,0.012539184952978056,0.2857142857142857,0.14423076923076922
ptbxl_external,sinus_bradycardia,0.1,30,0.01364877161055505,0.04075235109717868,0.43333333333333335,0.1411439114391144
ptbxl_external,sinus_bradycardia,0.15,47,0.021383075523202913,0.06269592476489028,0.425531914893617,0.1390051139005114
ptbxl_external,sinus_bradycardia,0.2,71,0.03230209281164695,0.0877742946708464,0.39436619718309857,0.1368124118476728
ptbxl_external,sinus_rhythm,0.01,10,0.004549590536851683,0.010101010101010102,0.5,0.22394881170018283
ptbxl_external,sinus_rhythm,0.02,20,0.009099181073703366,0.01818181818181818,0.45,0.2231404958677686
ptbxl_external,sinus_rhythm,0.05,59,0.02684258416742493,0.050505050505050504,0.423728813559322,0.21972884525479197
ptbxl_external,sinus_rhythm,0.1,121,0.05505004549590537,0.09898989898989899,0.4049586776859504,0.21473278767453058
ptbxl_external,sinus_rhythm,0.15,199,0.0905368516833485,0.14343434343434344,0.35678391959798994,0.21210605302651325
ptbxl_external,sinus_rhythm,0.2,552,0.25113739763421294,0.2383838383838384,0.213768115942029,0.2290400972053463
ptbxl_external,sinus_tachycardia,0.01,1,0.00045495905368516835,0.0,0.0,0.02321347291761493
ptbxl_external,sinus_tachycardia,0.02,1,0.00045495905368516835,0.0,0.0,0.02321347291761493
ptbxl_external,sinus_tachycardia,0.05,3,0.001364877161055505,0.0196078431372549,0.3333333333333333,0.022779043280182234
ptbxl_external,sinus_tachycardia,0.1,10,0.004549590536851683,0.09803921568627451,0.5,0.02102376599634369
ptbxl_external,sinus_tachycardia,0.15,17,0.0077343039126478615,0.1568627450980392,0.47058823529411764,0.019715726730857405
ptbxl_external,sinus_tachycardia,0.2,28,0.012738853503184714,0.21568627450980393,0.39285714285714285,0.018433179723502304
