source,first_class,second_class,cooccurrence_count,cooccurrence_prevalence
chapman,sinus_rhythm,sinus_bradycardia,6,0.000132890365448505
chapman,sinus_rhythm,sinus_tachycardia,0,0.0
chapman,sinus_rhythm,sinus_arrhythmia,208,0.00460686600221484
chapman,sinus_rhythm,atrial_fibrillation,0,0.0
chapman,sinus_rhythm,atrial_flutter,20,0.00044296788482834997
chapman,sinus_bradycardia,sinus_tachycardia,0,0.0
chapman,sinus_bradycardia,sinus_arrhythmia,709,0.015703211517165007
chapman,sinus_bradycardia,atrial_fibrillation,0,0.0
chapman,sinus_bradycardia,atrial_flutter,1,2.21483942414175e-05
chapman,sinus_tachycardia,sinus_arrhythmia,10,0.00022148394241417498
chapman,sinus_tachycardia,atrial_fibrillation,0,0.0
chapman,sinus_tachycardia,atrial_flutter,9,0.00019933554817275749
chapman,sinus_arrhythmia,atrial_fibrillation,0,0.0
chapman,sinus_arrhythmia,atrial_flutter,3,6.64451827242525e-05
chapman,atrial_fibrillation,atrial_flutter,0,0.0
ptbxl,sinus_rhythm,sinus_bradycardia,0,0.0
ptbxl,sinus_rhythm,sinus_tachycardia,0,0.0
ptbxl,sinus_rhythm,sinus_arrhythmia,2,9.17473278590761e-05
ptbxl,sinus_rhythm,atrial_fibrillation,0,0.0
ptbxl,sinus_rhythm,atrial_flutter,5,0.00022936831964769026
ptbxl,sinus_bradycardia,sinus_tachycardia,0,0.0
ptbxl,sinus_bradycardia,sinus_arrhythmia,3,0.00013762099178861415
ptbxl,sinus_bradycardia,atrial_fibrillation,0,0.0
ptbxl,sinus_bradycardia,atrial_flutter,0,0.0
ptbxl,sinus_tachycardia,sinus_arrhythmia,0,0.0
ptbxl,sinus_tachycardia,atrial_fibrillation,0,0.0
ptbxl,sinus_tachycardia,atrial_flutter,5,0.00022936831964769026
ptbxl,sinus_arrhythmia,atrial_fibrillation,0,0.0
ptbxl,sinus_arrhythmia,atrial_flutter,0,0.0
ptbxl,atrial_fibrillation,atrial_flutter,17,0.0007798522868021469
